,object_names,object_type,object_id,device_id
0,tempUoOne10k,analogInput,1,201201
1,tempUoTwoBalco,analogInput,2,201201
2,tempUoThreeBalco,analogInput,3,201201
3,S-LK,analogInput,17,201201
4,RmDiff,analogValue,806,201201
5,Oat,analogValue,301,201201
6,RmTmpSpt,analogValue,302,201201
7,RmTmp,analogValue,300,201201
8,UhCmd,binaryOutput,1,201201
9,GlblHtgDsbl,binaryValue,806,201201
10,TEST1,device,201201,201201
11,Firmware,file,1,201201
12,Application Database,file,32,201201
13,tempUoOne10k:Type,multiStateValue,10101,201201
14,tempUoOne10k:Filter,analogValue,10106,201201
15,tempUoOne10k:Offset,analogValue,10107,201201
16,tempUoTwoBalco:Type,multiStateValue,10201,201201
17,tempUoTwoBalco:Filter,analogValue,10206,201201
18,tempUoTwoBalco:Offset,analogValue,10207,201201
19,tempUoThreeBalco:Type,multiStateValue,10301,201201
20,tempUoThreeBalco:Filter,analogValue,10306,201201
21,tempUoThreeBalco:Offset,analogValue,10307,201201
22,UhCmd:Action,binaryValue,12501,201201
23,S-LK:TempCal,analogValue,13313,201201
24,S-LK:OvrdTm,analogValue,13332,201201
25,S-LK:PbOcc,binaryValue,13353,201201
26,S-LK:OvrTimer,analogValue,13354,201201
